Progress[560/126614], Elapsed[   3m], G_Loss[0.265], D_Real_Loss[0.421], D_Fake_Loss[0.695]
Progress[570/126614], Elapsed[   3m], G_Loss[0.249], D_Real_Loss[0.424], D_Fake_Loss[0.537]
Progress[580/126614], Elapsed[   3m], G_Loss[0.242], D_Real_Loss[0.300], D_Fake_Loss[0.729]
Progress[590/126614], Elapsed[   3m], G_Loss[0.239], D_Real_Loss[0.200], D_Fake_Loss[1.148]
Progress[600/126614], Elapsed[   3m], G_Loss[0.245], D_Real_Loss[0.549], D_Fake_Loss[0.700]
Progress[610/126614], Elapsed[   3m], G_Loss[0.257], D_Real_Loss[0.293], D_Fake_Loss[0.890]
Progress[620/126614], Elapsed[   3m], G_Loss[0.254], D_Real_Loss[0.477], D_Fake_Loss[0.854]
Progress[630/126614], Elapsed[   3m], G_Loss[0.245], D_Real_Loss[0.286], D_Fake_Loss[0.918]
Progress[640/126614], Elapsed[   3m], G_Loss[0.254], D_Real_Loss[0.312], D_Fake_Loss[0.898]
Progress[650/126614], Elapsed[   3m], G_Loss[0.277], D_Real_Loss[0.407], D_Fake_Loss[0.452]
Progress[660/126614], Elapsed[   3m], G_Loss[0.251], D_Real_Loss[0.599], D_Fake_Loss[0.637]
Progress[670/126614], Elapsed[   4m], G_Loss[0.267], D_Real_Loss[0.947], D_Fake_Loss[0.377]
Progress[680/126614], Elapsed[   4m], G_Loss[0.301], D_Real_Loss[0.516], D_Fake_Loss[0.369]
Progress[690/126614], Elapsed[   4m], G_Loss[0.256], D_Real_Loss[0.503], D_Fake_Loss[0.786]
Progress[700/126614], Elapsed[   4m], G_Loss[0.269], D_Real_Loss[0.460], D_Fake_Loss[0.672]
Progress[710/126614], Elapsed[   4m], G_Loss[0.258], D_Real_Loss[0.499], D_Fake_Loss[0.616]
Progress[720/126614], Elapsed[   4m], G_Loss[0.236], D_Real_Loss[0.248], D_Fake_Loss[0.854]
Progress[730/126614], Elapsed[   4m], G_Loss[0.271], D_Real_Loss[0.764], D_Fake_Loss[0.323]
